10011	IGNORE	(Cookie Without Secure Flag)
10015	IGNORE	(Incomplete or No Cache-control and Pragma HTTP Header Set)
10021	IGNORE	(X-Content-Type-Options Header Missing)
10023	IGNORE	(Information Disclosure - Debug Error Messages)
10025	IGNORE	(Information Disclosure - Sensitive Information in URL)
10026	IGNORE	(HTTP Parameter Override)
10027	IGNORE	(Information Disclosure - Suspicious Comments)
10028	IGNORE	(Open Redirect)
10029	IGNORE	(Cookie Poisoning)
10030	IGNORE	(User Controllable Charset)
10031	IGNORE	(User Controllable HTML Element Attribute (Potential XSS))
10032	IGNORE	(Viewstate Scanner)
10033	IGNORE	(Directory Browsing)
10034	IGNORE	(Heartbleed OpenSSL Vulnerability (Indicative))
10035	IGNORE	(Strict-Transport-Security Header Scanner)
10036	IGNORE	(HTTP Server Response Header Scanner)
10037	IGNORE	(Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s))
10038	IGNORE	(Content Security Policy (CSP) Header Not Set)
10040	IGNORE	(Secure Pages Include Mixed Content)
10041	IGNORE	(HTTP to HTTPS Insecure Transition in Form Post)
10042	IGNORE	(HTTPS to HTTP Insecure Transition in Form Post)
10043	IGNORE	(User Controllable JavaScript Event (XSS))
10044	IGNORE	(Big Redirect Detected (Potential Sensitive Information Leak))
10045	IGNORE	(Source Code Disclosure - /WEB-INF folder)
10046	IGNORE	(Shortcut Icon is Served From External Domain)
10047	IGNORE	(HTTPS Content Available via HTTP)
10048	IGNORE	(Remote Code Execution - Shell Shock)
10049	IGNORE	(Content Cacheability)
10050	IGNORE	(Retrieved from Cache)
10051	IGNORE	(Relative Path Confusion)
10052	IGNORE	(X-ChromeLogger-Data (XCOLD) Header Information Leak)
10054	IGNORE	(Cookie Without SameSite Attribute)
10055	IGNORE	(CSP Scanner)
10056	IGNORE	(X-Debug-Token Information Leak)
10057	IGNORE	(Username Hash Found)
10061	IGNORE	(X-AspNet-Version Response Header Scanner)
10062	IGNORE	(PII Scanner)
10063	IGNORE	(Feature Policy Header Not Set)
10096	IGNORE	(Timestamp Disclosure)
10097	IGNORE	(Hash Disclosure)
10098	IGNORE	(Cross-Domain Misconfiguration)
10099	IGNORE	(Source Code Disclosure)
10104	IGNORE	(User Agent Fuzzer)
10105	IGNORE	(Weak Authentication Method)
10106	IGNORE	(HTTP Only Site)
10107	IGNORE	(Httpoxy - Proxy Header Misuse)
10108	IGNORE	(Reverse Tabnabbing)
10109	IGNORE	(Modern Web Application)
10110	IGNORE	(Dangerous JS Functions)
10202	IGNORE	(Absence of Anti-CSRF Tokens)
